,#,name,distributor_full_name,release_date,genre,runtime,rating,budget,rest_world,studio,total_gross,theaters_total,opening,theaters_opening,open_date,close_date
606,607,Digimon Adventure Tri. 6: Future,Fathom,"September 20, 2018",Animation,2 hrs. 0 min.,Unrated,N/A,no dist,Fathom,"$54,324",463,N/A,N/A,9/20,9/20
607,608,The Great Silence (2018 re-release),Film Movement,"March 30, 2018",Western,1 hrs. 45 min.,Unrated,N/A,no dist,FM,"$53,074",6,"$8,755",1,3/30,8/30
608,609,Twiceland,CJ Entertainment,"December 7, 2018",Documentary,N/A,Unrated,N/A,no dist,CJ,"$52,874",19,N/A,N/A,12/7,-
609,610,Digimon Adventure Tri. 5: Coexistence,Fathom,"May 10, 2018",Animation,1 hrs. 29 min.,Unrated,N/A,no dist,Fathom,"$52,339",393,N/A,N/A,5/10,5/10
610,611,Before We Vanish,Super,"February 2, 2018",Sci-Fi Thriller,2 hrs. 9 min.,R,N/A,n/a,Super,"$52,087",42,"$8,370",2,2/2,3/15
611,612,The Snowman Trek,Fathom,"May 17, 2018",Documentary,1 hrs. 45 min.,Unrated,N/A,no dist,Fathom,"$51,743",350,N/A,N/A,5/17,5/17
612,613,Wanda (2018 re-release),Janus Films,"July 20, 2018",Crime Drama,1 hrs. 43 min.,Unrated,N/A,no dist,Jan.,"$51,713",3,"$10,679",1,7/20,9/20
613,614,I Am Not a Witch,Film Movement,"September 7, 2018",Drama,1 hrs. 33 min.,Unrated,N/A,n/a,FM,"$50,868",8,"$8,252",2,9/7,2/7
614,615,Harry & Meghan - The Royal Wedding,Fathom,"May 19, 2018",Unknown,3 hrs. 30 min.,Unrated,N/A,no dist,Fathom,"$50,264",194,"$50,264",194,5/19,5/19
615,616,Jumanji Movie Event,Fathom,"June 10, 2018",Action,3 hrs. 43 min.,PG-13,N/A,no dist,Fathom,"$49,381",352,"$32,264",335,6/10,6/11
616,617,Hal,Oscilloscope Pictures,"September 7, 2018",Documentary,1 hrs. 30 min.,Unrated,N/A,no dist,Osci.,"$48,698",10,"$5,150",1,9/7,11/22
617,618,The China Hustle,Magnolia,"March 30, 2018",Documentary,1 hrs. 24 min.,R,N/A,no dist,Magn.,"$48,650",20,"$25,791",20,3/30,4/19
618,619,350 Days - Legends. Champions. Survivors.,Fathom,"July 12, 2018",Documentary,2 hrs. 5 min.,Unrated,N/A,no dist,Fathom,"$47,526",341,N/A,N/A,7/12,7/12
619,620,Bigger,Freestyle Releasing,"October 12, 2018",Drama,1 hrs. 47 min.,PG-13,N/A,no dist,Free,"$46,382",61,"$31,477",61,10/12,10/25
620,621,Racer & the Jailbird,Super,"May 4, 2018",Crime Drama,2 hrs. 10 min.,R,N/A,n/a,Super,"$46,337",48,"$2,513",2,5/4,5/17
621,622,Summer in the Forest,Abramorama,"March 23, 2018",Documentary,1 hrs. 48 min.,Unrated,N/A,no dist,Abr.,"$45,542",6,"$8,366",1,3/23,5/17
622,623,Rodin,Cohen Media Group,"June 1, 2018",Drama,1 hrs. 59 min.,Unrated,N/A,n/a,Cohen,"$44,261",8,N/A,N/A,6/1,7/8
623,624,What Will People Say,Kino Lorber,"July 13, 2018",Drama,1 hrs. 46 min.,Unrated,N/A,n/a,KL,"$44,156",4,"$4,024",1,7/13,11/1
624,625,Liyana,Abramorama,"October 10, 2018",Animation,1 hrs. 17 min.,Unrated,N/A,no dist,Abr.,"$44,045",4,"$2,160",1,10/10,4/11
625,626,Garry Winogrand: All Things Are Photographable,Greenwich,"September 19, 2018",Documentary,1 hrs. 30 min.,Unrated,N/A,no dist,Greenwich,"$44,002",3,"$9,058",1,9/19,-
626,627,Hitler's Hollywood,Kino Lorber,"April 11, 2018",Documentary,1 hrs. 45 min.,Unrated,N/A,no dist,KL,"$43,766",6,"$8,634",1,4/11,8/30
627,628,Antonio Lopez 1970: Sex Fashion & Disco,Film Movement,"September 14, 2018",Documentary,1 hrs. 35 min.,Unrated,N/A,"$29,953",FM,"$43,169",5,"$7,167",1,9/14,11/22
628,629,First We Take Brooklyn,Zealous Productions,"February 9, 2018",Crime Drama,1 hrs. 31 min.,Unrated,N/A,no dist,ZP,"$42,812",5,"$15,845",5,2/9,2/25
629,630,A Ciambra,IFC,"January 19, 2018",Drama,1 hrs. 58 min.,Unrated,N/A,n/a,IFC,"$41,934",6,"$6,330",1,1/19,2/15
630,631,Golden Exits,Vertical Entertainment,"February 9, 2018",Drama,1 hrs. 34 min.,R,N/A,no dist,VE,"$41,888",11,"$11,719",1,2/9,3/4
631,632,Western,Cinema Guild,"February 16, 2018",Drama,2 hrs. 0 min.,Unrated,N/A,no dist,CGld,"$41,072",7,"$6,688",1,2/16,6/28
632,633,Humor Me,Shout! Factory,"January 12, 2018",Comedy,1 hrs. 33 min.,Unrated,N/A,no dist,Shout!,"$40,099",5,"$3,342",1,1/12,3/8
633,634,Submission,Great Point,"March 2, 2018",Drama,1 hrs. 46 min.,R,N/A,no dist,Great Point,"$39,985",39,N/A,N/A,3/2,3/22
634,635,Mamma Mia! 10th Anniversary,Fathom,"November 4, 2018",Musical,1 hrs. 48 min.,PG-13,N/A,no dist,Fathom,"$39,601",243,"$23,376",243,11/4,-
635,636,Divide and Conquer: The Story of Roger Ailes,Magnolia,"December 7, 2018",Documentary,1 hrs. 47 min.,Not Yet Rated,N/A,no dist,Magn.,"$38,510",16,"$18,833",15,12/7,1/10
636,637,Araby,Grasshopper Film,"June 22, 2018",Drama,1 hrs. 38 min.,Unrated,N/A,no dist,Ghop,"$38,399",7,"$8,668",1,6/22,-
637,638,Gray Matter,Indican,"May 18, 2018",Sci-Fi,1 hrs. 25 min.,Unrated,N/A,no dist,Indic.,"$38,034",12,"$14,064",12,5/18,6/14
638,639,The Heart of Nuba,Abramorama,"April 6, 2018",Documentary,1 hrs. 25 min.,Unrated,N/A,no dist,Abr.,"$37,788",4,"$4,016",1,4/6,7/12
639,640,Oolong Courtyard,China Lion,"August 24, 2018",Comedy,1 hrs. 43 min.,Unrated,N/A,n/a,CL,"$37,727",10,"$19,065",10,8/24,9/6
640,641,Krystal,Paladin,"April 13, 2018",Comedy / Drama,1 hrs. 30 min.,R,N/A,no dist,Pala.,"$37,516",86,N/A,N/A,4/13,4/26
641,642,Girls vs Gangsters,Well Go USA,"March 9, 2018",Comedy,2 hrs. 18 min.,Unrated,N/A,n/a,WGUSA,"$37,115",4,"$15,044",4,3/9,3/22
642,644,Return of the Hero,Distrib Films,"August 30, 2018",Drama,1 hrs. 30 min.,Unrated,N/A,"$7,279,636",Distrib.,"$37,108",3,$761,1,8/30,1/31
643,643,Breath,FilmRise,"June 1, 2018",Drama,1 hrs. 56 min.,Unrated,N/A,no dist,FR,"$37,108",21,"$5,258",1,6/1,7/5
644,645,Small Group,Gathr Films,"October 18, 2018",Drama,2 hrs. 0 min.,PG-13,N/A,no dist,Gathr,"$37,058",10,"$26,579",10,10/18,10/28
645,646,Searching for Ingmar Bergman,Oscilloscope Pictures,"November 2, 2018",Documentary,1 hrs. 39 min.,Unrated,N/A,no dist,Osci.,"$36,686",8,"$5,996",1,11/2,12/13
646,647,Mind Game (2017 re-release),GKIDS,"February 16, 2018",Animation,1 hrs. 43 min.,Unrated,N/A,no dist,GK,"$36,613",7,"$5,609",7,2/16,4/5
647,648,A tous ceux qui ne me lisent pas,Entertainment One,"November 23, 2018",Drama,1 hrs. 47 min.,Unrated,N/A,no dist,EOne,"$36,506",6,"$9,263",5,11/23,-
648,649,"No Date, No Signature",Distrib Films,"August 1, 2018",Drama,1 hrs. 44 min.,Unrated,N/A,n/a,Distrib.,"$36,444",3,"$4,993",3,8/1,1/24
649,650,Le Corbeau (2018 re-issue),Rialto,"April 20, 2018",Drama,1 hrs. 33 min.,Unrated,N/A,no dist,Rialto,"$36,089",1,"$6,452",1,4/20,9/9
650,651,The House of Tomorrow,Shout! Factory,"April 27, 2018",Comedy / Drama,1 hrs. 25 min.,Unrated,N/A,no dist,Shout!,"$35,821",8,"$6,652",8,4/27,5/31
651,652,The Big Bad Fox and Other Tales,GKIDS,"March 8, 2018",Animation,1 hrs. 23 min.,G,N/A,"$9,608,653",GK,"$35,787",12,"$2,402",4,3/8,11/8
652,653,The Road Movie,Oscilloscope Pictures,"January 19, 2018",Documentary,1 hrs. 7 min.,Unrated,N/A,no dist,Osci.,"$35,757",19,"$17,175",19,1/19,2/15
653,654,PGS Intuition,Gathr Films,"January 16, 2018",Documentary,1 hrs. 23 min.,Unrated,N/A,no dist,Gathr,"$35,423",4,N/A,N/A,1/16,-
654,655,That Summer,IFC,"May 18, 2018",Documentary,1 hrs. 20 min.,Unrated,N/A,no dist,IFC,"$34,556",5,"$5,977",1,5/18,-
655,656,24 Frames,Janus Films,"February 2, 2018",Foreign,1 hrs. 54 min.,Unrated,N/A,no dist,Jan.,"$34,482",2,"$8,101",1,2/2,3/22
656,657,Holy Hell (2018),Indican,"July 20, 2018",Action Comedy,1 hrs. 29 min.,Unrated,N/A,no dist,Indic.,"$34,366",7,"$21,504",4,7/20,8/23
657,658,Kuleana,Gathr Films,"April 13, 2018",Drama,1 hrs. 35 min.,PG-13,N/A,no dist,Gathr,"$33,953",6,N/A,N/A,4/13,-
658,659,Sollers Point,Oscilloscope Pictures,"May 11, 2018",Drama,1 hrs. 42 min.,R,N/A,no dist,Osci.,"$32,608",4,"$10,618",1,5/11,6/21
659,660,Goodland,Parade Deck Films,"May 11, 2018",Crime,1 hrs. 24 min.,Unrated,N/A,no dist,PDF,"$32,140",3,"$17,621",2,5/11,-
660,661,Moynihan,First Run,"October 3, 2018",Documentary,1 hrs. 44 min.,Unrated,N/A,no dist,FRun,"$31,970",2,"$4,416",1,10/3,10/25
661,662,Good Manners,Distrib Films,"July 27, 2018",Fantasy,2 hrs. 15 min.,Unrated,N/A,no dist,Distrib.,"$31,177",4,"$2,476",1,7/27,12/13
662,663,Poor Boy,Indican,"July 13, 2018",Drama,1 hrs. 44 min.,Unrated,N/A,no dist,Indic.,"$31,031",5,"$10,920",4,7/13,10/18
663,664,Cold Water (2018 re-release),Janus Films,"April 27, 2018",Drama,1 hrs. 32 min.,Unrated,N/A,no dist,Jan.,"$30,209",1,"$5,110",1,4/27,6/21
664,665,The Desert Bride,Strand,"May 4, 2018",Drama,1 hrs. 18 min.,Unrated,N/A,no dist,Strand,"$30,110",4,"$2,127",2,5/4,8/23
665,666,Memories of Underdevelopment (2017 re-release),Janus Films,"January 12, 2018",Drama,1 hrs. 37 min.,Unrated,N/A,no dist,Jan.,"$29,647",1,"$8,244",1,1/12,2/15
666,667,The Mercy,Screen Media,"November 30, 2018",Adventure,1 hrs. 52 min.,Unrated,N/A,"$4,230,143",Scre.,"$29,538",108,N/A,N/A,11/30,12/9
667,668,Charm City,PBS Distribution,"October 12, 2018",Documentary,1 hrs. 48 min.,Unrated,N/A,no dist,PBS,"$29,335",3,"$10,511",1,10/12,12/6
668,669,Restoring Tomorrow (Event),Fathom,"November 13, 2018",Documentary,1 hrs. 42 min.,PG,N/A,no dist,Fathom,"$28,556",394,N/A,N/A,11/13,-
669,670,The Apparition (2018),Music Box Films,"September 7, 2018",Drama,2 hrs. 24 min.,Unrated,N/A,n/a,MBox,"$28,293",7,"$9,830",7,9/7,12/20
670,671,On Her Shoulders,Oscilloscope Pictures,"October 19, 2018",Documentary,1 hrs. 34 min.,Unrated,N/A,no dist,Osci.,"$28,288",7,"$4,374",1,10/19,12/6
671,672,Quai des Orfevres (2018 Re-issue),Rialto,"April 13, 2018",Crime Drama,1 hrs. 46 min.,Unrated,N/A,no dist,Rialto,"$28,013",2,"$7,125",1,4/13,7/26
672,673,The Amendment,Fathom,"April 12, 2018",Drama,1 hrs. 30 min.,Unrated,N/A,no dist,Fathom,"$27,961",541,N/A,N/A,4/12,4/12
673,674,Senso (2018 re-release),Rialto,"October 26, 2018",Drama,2 hrs. 3 min.,Unrated,N/A,no dist,Rialto,"$27,723",2,"$3,984",1,10/26,-
674,675,The Cured,IFC,"February 23, 2018",Horror,1 hrs. 35 min.,R,N/A,no dist,IFC,"$26,630",29,"$4,875",3,2/23,3/15
675,676,Milford Graves Full Mantis,Cinema Guild,"July 13, 2018",Documentary,1 hrs. 31 min.,Unrated,N/A,no dist,CGld,"$26,566",4,"$7,407",1,7/13,-
676,677,Belle de jour (2018 re-release),Janus Films,"March 23, 2018",Drama,1 hrs. 40 min.,R,N/A,no dist,Jan.,"$26,331",3,"$6,462",1,3/23,4/19
677,678,The Charmer,Film Movement,"December 5, 2018",Drama / Thriller,1 hrs. 42 min.,Unrated,N/A,n/a,FM,"$26,167",3,"$4,128",1,12/5,1/24
678,679,The Misandrists,Cartilage,"May 25, 2018",Comedy Thriller,1 hrs. 31 min.,Unrated,N/A,no dist,Cartilage,"$26,123",5,"$3,278",1,5/25,8/2
679,680,Ridge Runners,Indican,"January 19, 2018",Crime Thriller,1 hrs. 21 min.,Unrated,N/A,no dist,Indic.,"$26,019",7,"$8,015",7,1/19,3/1
680,681,Jet Trash,Indican,"April 27, 2018",Drama / Thriller,1 hrs. 25 min.,Unrated,N/A,no dist,Indic.,"$26,002",6,"$4,914",2,4/27,10/18
681,682,In the Intense Now,Icarus Films,"January 31, 2018",Documentary,2 hrs. 7 min.,Unrated,N/A,no dist,Icar.,"$24,955",1,"$5,565",1,1/31,6/14
682,683,Phoenix Wilder: And The Great Elephant Adventure ,Fathom,"April 16, 2018",Family,1 hrs. 40 min.,Unrated,N/A,no dist,Fathom,"$24,844",586,N/A,N/A,4/16,4/16
683,684,The Day After,Cinema Guild,"May 11, 2018",Comedy / Drama,1 hrs. 32 min.,Unrated,N/A,no dist,CGld,"$24,746",6,"$3,727",1,5/11,8/19
684,685,Swimming with Men,IFC,"December 7, 2018",Comedy,1 hrs. 36 min.,Unrated,N/A,no dist,IFC,"$24,708",31,"$10,336",31,12/7,1/3
685,686,Life & Nothing More,CFI Releasing,"October 24, 2018",Drama,1 hrs. 54 min.,Unrated,N/A,no dist,CFI,"$24,358",6,"$6,536",6,10/24,3/24
686,687,Seven Years of Night,CJ Entertainment,"April 6, 2018",Action Drama,2 hrs. 3 min.,Unrated,N/A,no dist,CJ,"$24,281",4,"$13,669",4,4/6,4/19
687,688,Elliot: The Littlest Reindeer,Screen Media,"November 30, 2018",Animation,1 hrs. 29 min.,PG,N/A,n/a,Scre.,"$24,262",105,"$22,056",105,11/30,12/9
688,689,Vazante,Music Box Films,"January 12, 2018",Drama,1 hrs. 56 min.,Unrated,N/A,no dist,MBox,"$23,884",6,"$3,489",1,1/12,4/19
689,690,Death House,Hannover House,"March 2, 2018",Horror,1 hrs. 33 min.,R,N/A,no dist,Hann.,"$23,833",7,"$10,140",1,3/2,5/17
690,691,Letter From Masanjia,Ammo Content,"September 14, 2018",Documentary,1 hrs. 17 min.,Unrated,N/A,no dist,Ammo,"$23,481",2,"$8,295",2,9/14,-
691,692,The Atomic Cafe (2018 re-release),Kino Lorber,"August 1, 2018",Documentary,1 hrs. 26 min.,Unrated,N/A,no dist,KL,"$22,293",5,"$4,098",1,8/1,10/25
692,693,The Judge (2018),Idle Wild Films,"April 13, 2018",Documentary,1 hrs. 22 min.,Unrated,N/A,no dist,IWF,"$22,257",3,N/A,N/A,4/13,5/31
693,694,Winning Formula,Indican,"July 27, 2018",Crime Comedy,1 hrs. 33 min.,Unrated,N/A,no dist,Indic.,"$22,189",5,"$4,505",5,7/27,9/6
694,695,The Workshop,Strand,"March 23, 2018",Drama,1 hrs. 53 min.,Not Yet Rated,N/A,n/a,Strand,"$22,061",8,"$2,860",1,3/23,5/31
695,696,Loving Pablo,Universal,"October 5, 2018",Crime Drama,2 hrs. 3 min.,R,N/A,n/a,Uni.,"$22,017",15,"$16,564",15,10/5,10/11
696,697,The Female Brain,IFC,"February 9, 2018",Comedy,1 hrs. 38 min.,Unrated,N/A,no dist,IFC,"$21,786",26,"$6,886",2,2/9,2/22
697,698,A Paris Education,Kino Lorber,"August 30, 2018",Drama,2 hrs. 17 min.,Unrated,N/A,n/a,KL,"$21,598",2,"$3,467",1,8/30,12/20
698,699,Half the Picture,Gravitas Ventures,"June 8, 2018",Documentary,1 hrs. 34 min.,Unrated,N/A,no dist,Grav.,"$21,589",1,"$6,581",1,6/8,6/24
699,700,Primal Rage: The Bigfoot Reborn,Fathom,"February 27, 2018",Horror,1 hrs. 46 min.,R,N/A,no dist,Fathom,"$21,497",125,N/A,N/A,2/27,2/28
700,701,Tyrel,Magnolia,"December 7, 2018",Comedy / Drama,1 hrs. 26 min.,Not Yet Rated,N/A,no dist,Magn.,"$21,456",5,"$6,059",5,12/7,2/7
701,702,Ganja & Hess (2018 re-release),Kino Lorber,"May 30, 2018",Horror,1 hrs. 53 min.,R,N/A,no dist,KL,"$21,197",8,"$3,406",1,5/30,11/1
702,703,The Happys,Indican,"March 16, 2018",Comedy,1 hrs. 27 min.,Unrated,N/A,no dist,Indic.,"$21,108",2,"$7,707",2,3/16,7/26
703,704,Ava,Grasshopper Film,"April 27, 2018",Drama,1 hrs. 43 min.,Unrated,N/A,no dist,Ghop,"$20,940",3,"$2,996",1,4/27,-
704,705,Did You Wonder Who Fired the Gun?,Grasshopper Film,"February 28, 2018",Documentary,1 hrs. 30 min.,Unrated,N/A,no dist,Ghop,"$20,765",3,"$5,725",3,2/28,-
705,706,Tag Along: The Devil Fish,China Lion,"December 7, 2018",Horror,1 hrs. 54 min.,Unrated,N/A,n/a,CL,"$20,726",8,"$10,974",8,12/7,12/27
706,707,Ice Dragon: The Legend of the Blue Daisies,Fathom,"March 24, 2018",Animation,1 hrs. 10 min.,Unrated,N/A,no dist,Fathom,"$20,549",228,N/A,228,3/24,3/26
707,708,The Devil and Father Amorth,The Orchard,"April 20, 2018",Documentary,1 hrs. 8 min.,Unrated,N/A,no dist,Orch.,"$20,449",8,"$7,814",8,4/20,5/24
708,709,Izzy Gets the Fuck Across Town,Shout! Factory,"June 22, 2018",Comedy / Drama,1 hrs. 26 min.,Unrated,N/A,no dist,Shout!,"$20,208",15,"$10,559",15,6/22,6/28
709,710,Apocalypsis,Indican,"March 2, 2018",Sci-Fi,1 hrs. 30 min.,Unrated,N/A,no dist,Indic.,"$20,052",2,"$3,945",1,3/2,6/21
710,711,Eight Hours Don't Make a Day (2018 re-release),Janus Films,"March 16, 2018",Foreign,7 hrs. 56 min.,Unrated,N/A,no dist,Jan.,"$19,987",1,"$5,880",1,3/16,4/1
711,712,"One Sings, the Other Doesn't",Janus Films,"June 1, 2018",Musical,2 hrs. 0 min.,Unrated,N/A,no dist,Jan.,"$19,919",2,"$6,700",1,6/1,6/21
712,713,Active Measures,Super,"August 31, 2018",Documentary,1 hrs. 50 min.,PG-13,N/A,no dist,Super,"$19,862",2,"$9,509",2,8/31,9/9
713,714,Freak Show,IFC,"January 12, 2018",Comedy / Drama,1 hrs. 35 min.,Unrated,N/A,no dist,IFC,"$19,696",9,"$4,809",1,1/12,2/8
714,715,Who We are Now,FilmRise,"May 25, 2018",Drama,1 hrs. 40 min.,Unrated,N/A,no dist,FR,"$19,128",3,"$5,188",1,5/25,6/21
715,716,November (2018),Oscilloscope Pictures,"February 23, 2018",Drama,1 hrs. 55 min.,Unrated,N/A,no dist,Osci.,"$19,084",8,"$3,354",1,2/23,4/5
716,717,Anything,Paladin,"May 11, 2018",Drama,1 hrs. 34 min.,R,N/A,no dist,Pala.,"$19,037",27,"$4,110",3,5/11,6/7
717,718,Crime + Punishment,IFC,,,,,,,,"$18,644",3,"$8,787",3,8/24,9/5
718,719,Mrs. Hyde,Cartilage,"April 27, 2018",Drama,1 hrs. 35 min.,Unrated,N/A,no dist,Cartilage,"$18,627",2,"$5,943",1,4/27,8/5
719,720,Maquia: When the Promised Flower Blooms (Dubbed),Eleven Arts,"September 21, 2018",Animation,1 hrs. 55 min.,Unrated,N/A,no dist,Elev.,"$18,539",62,"$6,100",13,9/21,10/18
720,721,Allegiance To Broadway (2018),Fathom,"December 4, 2018",Documentary,1 hrs. 25 min.,Unrated,N/A,no dist,Fathom,"$18,527",344,N/A,N/A,12/4,12/4
721,722,Desolation,Parade Deck Films,"January 26, 2018",Thriller,1 hrs. 29 min.,Unrated,N/A,no dist,PDF,"$18,490",3,"$11,320",2,1/26,3/11
722,723,Gabriel and the Mountain,Strand,"June 15, 2018",Drama,2 hrs. 11 min.,Unrated,N/A,n/a,Strand,"$18,415",2,"$4,963",2,6/15,9/6
723,724,306 Hollywood,El Tigre,"September 28, 2018",Documentary,1 hrs. 28 min.,Unrated,N/A,no dist,El Tigre,"$18,399",4,"$8,150",1,9/28,10/25
724,725,Frank and Ava,Hannover House,"December 7, 2018",Drama,1 hrs. 50 min.,Unrated,N/A,no dist,Hann.,"$17,819",3,"$3,080",1,12/7,-
725,726,Marlina the Murderer in Four Acts,Icarus Films,"June 22, 2018",Drama / Thriller,1 hrs. 33 min.,Unrated,N/A,n/a,Icar.,"$17,788",3,"$3,296",1,6/22,-
726,727,King of Hearts (2018 re-release),Cohen Media Group,"February 23, 2018",Comedy / Drama,1 hrs. 42 min.,Unrated,N/A,no dist,Cohen,"$17,646",4,"$3,443",1,2/23,4/12
727,728,Chronicle of Anna Magdalena Bach,Grasshopper Film,"March 2, 2018",Music Drama,1 hrs. 34 min.,Unrated,N/A,no dist,Ghop,"$17,527",2,"$3,453",2,3/2,7/5
728,729,A Bread Factory,In the Family,"October 26, 2018",Comedy / Drama,4 hrs. 2 min.,Unrated,N/A,no dist,ITF,"$17,325",2,"$5,847",2,10/26,11/8
729,730,Revival!,TriCoast Worldwide,"December 7, 2018",Musical,1 hrs. 45 min.,PG,N/A,no dist,TriCoast,"$17,252",10,N/A,N/A,12/7,-
730,731,Haikara-San: Here Comes Miss Modern,Eleven Arts,"June 8, 2018",Animation,1 hrs. 37 min.,Unrated,N/A,no dist,Elev.,"$16,572",101,"$6,748",51,6/8,7/19
731,732,Detour (2018 re-release),Janus Films,"November 30, 2018",Drama / Thriller,1 hrs. 8 min.,Unrated,N/A,no dist,Jan.,"$16,172",1,"$5,127",1,11/30,1/10
732,733,OUT on Stage,Fathom,"July 24, 2018",Unknown,1 hrs. 30 min.,R,N/A,no dist,Fathom,"$15,623",136,N/A,N/A,7/24,7/24
733,734,Bob Le Flambeur (2017 re-release),Rialto,"January 5, 2018",Crime Drama,1 hrs. 40 min.,Unrated,N/A,no dist,Rialto,"$15,586",2,"$4,623",1,1/5,3/29
734,735,When You Read this Letter (2018 re-release),Rialto,"September 12, 2018",Drama,1 hrs. 44 min.,Unrated,N/A,no dist,Rialto,"$15,552",2,"$5,166",1,9/12,11/1
735,736,Narcissister Organ Player,Film Movement,"November 7, 2018",Documentary,1 hrs. 31 min.,Unrated,N/A,no dist,FM,"$15,334",4,"$1,983",1,11/7,2/7
736,737,Sicilian Ghost Story,Strand,"November 30, 2018",Drama,2 hrs. 0 min.,Unrated,N/A,no dist,Strand,"$15,285",3,"$4,324",1,11/30,2/21
737,738,People's Republic of Desire,Tripod Media,"November 30, 2018",Documentary,1 hrs. 35 min.,Unrated,N/A,no dist,Tripod,"$15,241",5,N/A,N/A,11/30,12/20
738,739,Trust Machine: The Story of Blockchain,SingularDTV,"October 26, 2018",Documentary,1 hrs. 24 min.,Unrated,N/A,no dist,SingularDTV,"$14,905",1,"$7,424",1,10/26,11/22
739,740,Prayer Before Dawn,A24,"August 10, 2018",Action Drama,1 hrs. 56 min.,R,N/A,no dist,A24,"$14,453",13,"$14,453",13,8/10,8/12
740,741,The Last Movie Star,A24,"March 30, 2018",Drama,1 hrs. 34 min.,R,N/A,no dist,A24,"$14,410",5,"$3,780",2,3/30,4/19
741,742,Chasing the Blues,Ammo Content,"October 5, 2018",Comedy,1 hrs. 20 min.,Unrated,N/A,no dist,Ammo,"$14,030",9,"$9,949",9,10/5,10/14
742,743,The Escape,IFC,"May 11, 2018",Drama,1 hrs. 45 min.,Unrated,N/A,n/a,IFC,"$14,018",29,N/A,2,5/11,5/24
743,744,Weed the People,Abramorama,"October 26, 2018",Documentary,1 hrs. 37 min.,Unrated,N/A,no dist,Abr.,"$13,926",2,"$4,279",1,10/26,12/20
744,745,Here and Now,AMBI,"November 9, 2018",Drama,1 hrs. 31 min.,R,N/A,no dist,AMBI,"$13,892",51,"$8,090",51,11/9,11/22
745,746,Stavisky (2018 re-release),Rialto,"October 3, 2018",Drama,2 hrs. 0 min.,PG,N/A,no dist,Rialto,"$13,793",1,"$4,734",1,10/3,10/18
746,747,The Boy Downstairs,FilmRise,"February 16, 2018",Romantic Comedy,1 hrs. 30 min.,PG-13,N/A,no dist,FR,"$13,638",1,"$5,995",1,2/16,3/1
747,748,Un Traductor,Film Movement,"October 19, 2018",Drama,1 hrs. 47 min.,Unrated,N/A,no dist,FM,"$13,509",2,"$4,412",1,10/19,4/4
748,749,Shed Skin Papa,China Lion,"March 23, 2018",Comedy / Drama,1 hrs. 40 min.,Unrated,N/A,no dist,CL,"$13,331",8,"$7,950",8,3/23,4/1
749,750,Our Blood is Wine,Music Box Films,"March 9, 2018",Documentary,1 hrs. 18 min.,Unrated,N/A,no dist,MBox,"$13,210",5,"$1,540",2,3/9,5/17
750,751,Like Me,Kino Lorber,"January 26, 2018",Horror Thriller,1 hrs. 20 min.,Unrated,N/A,no dist,KL,"$12,965",4,"$5,064",3,1/26,2/15
751,752,How Victor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,CARUSEL,"March 23, 2018",Crime Drama,1 hrs. 30 min.,Unrated,N/A,n/a,CARUSEL,"$12,954",8,"$2,634",8,3/23,4/8
752,753,"Lou Andreas-Salomé, the Audacity to be Free",Cinema Libre Studio,"April 20, 2018",Drama,1 hrs. 53 min.,Unrated,N/A,n/a,CLS,"$12,875",2,"$5,060",1,4/20,5/17
753,754,American Socialist: The Life & Times of Eugene Victor Debs,First Run,"March 2, 2018",Documentary,1 hrs. 37 min.,Unrated,N/A,no dist,FRun,"$12,609",3,"$2,823",1,3/2,5/10
754,755,Of Fathers and Sons,Kino Lorber,"November 16, 2018",Documentary,1 hrs. 39 min.,Unrated,N/A,no dist,KL,"$12,579",6,N/A,N/A,11/16,2/28
755,756,My Art,Film Movement,"January 12, 2018",Comedy,1 hrs. 27 min.,Unrated,N/A,no dist,FM,"$12,554",2,"$5,538",1,1/12,2/8
756,757,American Chaos,Sony Classics,"September 14, 2018",Documentary,1 hrs. 30 min.,R,N/A,no dist,SPC,"$12,368",26,"$7,616",26,9/14,9/20
757,758,Head Full of Honey,Warner Bros.,"November 30, 2018",Drama,2 hrs. 19 min.,PG-13,N/A,no dist,WB,"$12,350",4,"$8,715",4,11/30,12/6
758,759,Let Yourself Go,Menemsha,"March 2, 2018",Drama,1 hrs. 52 min.,Unrated,N/A,n/a,Men.,"$12,189",8,"$8,128",8,3/2,3/8
759,760,The Most Unknown,Abramorama,"May 18, 2018",Documentary,1 hrs. 28 min.,Unrated,N/A,no dist,Abr.,"$12,119",2,"$2,905",1,5/18,6/14
760,761,Minding the Gap,Magnolia,"August 17, 2018",Documentary,1 hrs. 33 min.,Unrated,N/A,no dist,Magn.,"$11,998",5,"$6,812",4,8/17,8/23
761,762,The Last Race,Magnolia,"November 16, 2018",Documentary,1 hrs. 15 min.,Unrated,N/A,no dist,Magn.,"$11,947",3,"$2,437",3,11/16,11/29
762,763,Les Parents Terribles (2018 re-release),Cohen Media Group,"May 25, 2018",Drama,1 hrs. 45 min.,Unrated,N/A,no dist,Cohen,"$11,818",1,"$5,332",1,5/25,6/10
763,764,Summer '03,Blue Fox Entertainment,"September 28, 2018",Drama,1 hrs. 35 min.,Unrated,N/A,no dist,Blue Fox,"$11,746",15,"$4,174",2,9/28,10/18
