,#,name,distributor_full_name,release_date,genre,runtime,rating,budget,rest_world,studio,total_gross,theaters_total,opening,theaters_opening,open_date,close_date
78,79,Alpha,Studio 8,"August 17, 2018",Action Thriller,1 hrs. 36 min.,PG-13,$51 million,"$62,346,015",Studio 8,"$35,857,181","2,881","$10,352,512","2,719",8/17,11/22
79,80,Peppermint,STX Entertainment,"September 7, 2018",Action Thriller,1 hrs. 42 min.,R,$25 million,"$18,400,000",STX,"$35,418,723","2,980","$13,423,255","2,980",9/7,11/1
80,81,The Favourite,Fox Searchlight,"November 23, 2018",Drama,1 hrs. 59 min.,R,N/A,"$61,551,923",FoxS,"$34,366,783","1,554","$422,410",4,11/23,4/11
81,82,Death Wish (2018),MGM,"March 2, 2018",Action / Crime,1 hrs. 47 min.,R,$30 million,n/a,MGM,"$34,017,028","2,882","$13,010,267","2,847",3/2,5/31
82,83,The Spy Who Dumped Me,Lionsgate,"August 3, 2018",Action Comedy,1 hrs. 56 min.,R,$40 million,"$41,756,475",LGF,"$33,562,069","3,111","$12,103,043","3,111",8/3,9/27
83,84,Annihilation,Paramount,"February 23, 2018",Sci-Fi,1 hrs. 55 min.,R,$40 million,no dist,Par.,"$32,732,301","2,112","$11,071,584","2,012",2/23,4/19
84,85,Isle Of Dogs,Fox Searchlight,"March 23, 2018",Animation,1 hrs. 41 min.,PG-13,N/A,"$32,226,268",FoxS,"$32,015,231","1,947","$1,620,294",27,3/23,8/30
85,86,Nobody's Fool,Paramount,"November 2, 2018",Comedy,1 hrs. 50 min.,R,$19 million,"$1,819,483",Par.,"$31,713,110","2,468","$13,743,111","2,468",11/2,12/20
86,87,Adrift,STX Entertainment,"June 1, 2018",Drama,1 hrs. 36 min.,PG-13,$35 million,"$28,500,000",STX,"$31,445,012","3,015","$11,603,039","3,015",6/1,8/2
87,88,Robin Hood (2018),Lionsgate/Summit,"November 21, 2018",Action / Adventure,1 hrs. 44 min.,PG-13,$100 million,"$53,955,918",LG/S,"$30,824,628","2,827","$9,195,670","2,827",11/21,1/10
88,89,Super Troopers 2,Fox,"April 20, 2018",Comedy,1 hrs. 40 min.,R,$13.5 million,no dist,Fox,"$30,617,396","2,125","$15,181,624","2,038",4/20,7/12
89,90,Holmes and Watson,Sony / Columbia,"December 25, 2018",Comedy,1 hrs. 31 min.,PG-13,$42 million,"$9,893,344",Sony,"$30,573,626","2,780","$7,411,522","2,776",12/25,2/21
90,91,Slender Man,Sony / Screen Gems,"August 10, 2018",Horror,1 hrs. 33 min.,PG-13,$10 million,"$21,169,065",SGem,"$30,569,484","2,358","$11,371,866","2,358",8/10,11/1
91,92,Teen Titans Go! To The Movies,Warner Bros.,"July 27, 2018",Animation,1 hrs. 33 min.,PG,$10 million,"$22,300,000",WB,"$29,790,236","3,188","$10,411,189","3,188",7/27,10/11
92,93,The Hate U Give,Fox,"October 5, 2018",Crime Drama,2 hrs. 12 min.,PG-13,$23 million,"$5,214,526",Fox,"$29,719,483","2,375","$512,035",36,10/5,1/17
93,94,Searching,Sony / Screen Gems,"August 24, 2018",Thriller,1 hrs. 42 min.,PG-13,N/A,"$49,441,080",SGem,"$26,020,957","2,009","$388,769",9,8/24,11/15
94,95,Winchester,Lionsgate,"February 2, 2018",Horror,1 hrs. 39 min.,PG-13,N/A,n/a,LGF,"$25,091,816","2,480","$9,307,626","2,480",2/2,3/29
95,96,On the Basis of Sex,Focus Features,"December 25, 2018",Drama,2 hrs. 0 min.,PG-13,N/A,"$13,607,642",Focus,"$24,622,687","1,957","$686,355",33,12/25,3/7
96,97,Strangers: Prey at Night,Aviron,"March 9, 2018",Horror,1 hrs. 25 min.,R,N/A,n/a,Aviron,"$24,586,708","2,464","$10,402,271","2,464",3/9,5/31
97,98,White Boy Rick,Studio 8,"September 14, 2018",Crime Drama,1 hrs. 50 min.,R,$29 million,"$1,946,294",Studio 8,"$24,011,188","2,504","$8,860,431","2,504",9/14,11/8
98,99,Won't You Be My Neighbor?,Focus Features,"June 8, 2018",Documentary,1 hrs. 34 min.,PG-13,N/A,no dist,Focus,"$22,835,787",893,"$475,419",29,6/8,9/13
99,100,Overlord,Paramount,"November 9, 2018",Horror,1 hrs. 49 min.,R,$38 million,"$19,953,000",Par.,"$21,704,844","2,859","$10,202,108","2,859",11/9,12/20
100,101,Proud Mary,Sony / Screen Gems,"January 12, 2018",Drama,1 hrs. 28 min.,R,$14 million,"$876,352",SGem,"$20,877,013","2,125","$9,959,053","2,125",1/12,3/8
101,102,The Happytime Murders,STX Entertainment,"August 24, 2018",Comedy,1 hrs. 31 min.,R,$40 million,"$6,800,000",STX,"$20,706,452","3,256","$9,532,425","3,256",8/24,9/27
102,103,Superfly,Sony / Columbia,"June 13, 2018",Action / Crime,1 hrs. 56 min.,R,$16 million,"$235,569",Sony,"$20,545,116","2,220","$6,870,740","2,220",6/13,8/9
103,104,They Shall Not Grow Old,Warner Bros.,"December 17, 2018",Documentary,2 hrs. 0 min.,R,N/A,n/a,WB,"$17,956,913","1,335",N/A,"1,142",12/17,5/9
104,105,Show Dogs,Global Road,"May 18, 2018",Comedy,1 hrs. 30 min.,PG,N/A,"$21,299,834",Global Road,"$17,857,020","3,212","$6,023,972","3,212",5/18,10/11
105,106,Bad Times At The El Royale,Fox,"October 12, 2018",Thriller,2 hrs. 21 min.,R,$32 million,"$14,043,609",Fox,"$17,839,115","2,808","$7,132,647","2,808",10/12,12/6
106,107,Operation Finale,MGM,"August 29, 2018",Thriller,2 hrs. 2 min.,PG-13,$24 million,no dist,MGM,"$17,612,099","1,818","$6,022,758","1,818",8/29,11/15
107,108,"Paul, Apostle of Christ",Sony / AFFIRM Films,"March 23, 2018",Drama,1 hrs. 47 min.,PG-13,$5 million,"$5,478,768",Affirm,"$17,560,475","1,473","$5,172,585","1,473",3/23,5/24
108,109,Free Solo,National Geographic Entertainment,"September 28, 2018",Documentary,1 hrs. 40 min.,PG-13,N/A,n/a,NGE,"$17,541,090",483,"$294,288",4,9/28,5/2
109,110,Sorry to Bother You,Annapurna Pictures,"July 6, 2018",Sci-Fi Comedy,1 hrs. 45 min.,R,N/A,no dist,Annapurna,"$17,493,096","1,050","$727,266",16,7/6,11/1
110,111,Chappaquiddick,Entertainment Studios,"April 6, 2018",Thriller,1 hrs. 41 min.,PG-13,N/A,"$591,151",ENTMP,"$17,395,520","1,645","$5,765,854","1,560",4/6,8/1
111,112,Mary Queen of Scots,Focus Features,"December 7, 2018",Drama,2 hrs. 5 min.,R,N/A,"$29,900,000",Focus,"$16,468,499","1,052","$194,777",4,12/7,1/31
112,113,Forever My Girl,Roadside Attractions,"January 19, 2018",Romance,1 hrs. 44 min.,PG,$3.5 million,no dist,RAtt.,"$16,376,066","1,427","$4,245,630","1,114",1/19,5/10
113,114,Mortal Engines,Universal,"December 14, 2018",Action / Adventure,2 hrs. 8 min.,PG-13,$100 million,"$67,706,100",Uni.,"$15,951,040","3,103","$7,559,850","3,103",12/14,1/17
114,115,Hunter Killer,Lionsgate/Summit,"October 26, 2018",Action,2 hrs. 1 min.,R,$40 million,n/a,LG/S,"$15,767,460","2,728","$6,653,777","2,728",10/26,11/29
115,116,If Beale Street Could Talk,Annapurna Pictures,"December 14, 2018",Crime Drama,1 hrs. 57 min.,R,N/A,"$5,656,918",Annapurna,"$14,915,773","1,018","$224,476",4,12/14,4/11
116,117,The Girl in the Spider's Web: A New Dragon Tattoo Story,Sony / Columbia,"November 9, 2018",Crime Thriller,1 hrs. 57 min.,R,$43 million,"$20,323,582",Sony,"$14,841,338","2,929","$7,810,112","2,929",11/9,12/20
117,118,The Possession of Hannah Grace,Sony / Screen Gems,"November 30, 2018",Horror,1 hrs. 25 min.,R,$7.7 million,"$28,179,106",SGem,"$14,837,422","2,298","$6,401,744","2,065",11/30,2/21
118,119,RBG,Magnolia,"May 4, 2018",Documentary,1 hrs. 37 min.,PG,N/A,no dist,Magn.,"$14,017,361",432,"$578,470",34,5/4,10/11
119,120,Eighth Grade,A24,"July 13, 2018",Comedy,1 hrs. 33 min.,R,N/A,no dist,A24,"$13,539,709","1,084","$263,797",4,7/13,10/4
120,121,The Darkest Minds,Fox,"August 3, 2018",Sci-Fi Thriller,1 hrs. 45 min.,PG-13,$34 million,"$28,446,688",Fox,"$12,695,691","3,127","$5,842,609","3,127",8/3,10/18
121,122,Three Identical Strangers,Neon,"June 29, 2018",Documentary,1 hrs. 36 min.,PG-13,N/A,no dist,Neon,"$12,320,845",433,"$171,503",5,6/29,10/18
122,123,Upgrade,BH Tilt,"June 1, 2018",Thriller,1 hrs. 35 min.,R,N/A,"$2,400,000",BH Tilt,"$11,977,130","1,458","$4,670,905","1,457",6/1,8/2
123,124,Padmaavat,Viva Pictures Distribution,"January 25, 2018",Drama,2 hrs. 44 min.,Unrated,N/A,"$11,145,000",VPD,"$11,846,060",354,"$4,493,384",326,1/25,2/25
124,125,The Old Man & the Gun,Fox Searchlight,"September 28, 2018",Drama,1 hrs. 36 min.,PG-13,N/A,n/a,FoxS,"$11,277,120","1,042","$142,131",5,9/28,1/24
125,126,Hell Fest,Lionsgate,"September 28, 2018",Horror Thriller,1 hrs. 29 min.,R,$5.5 million,"$7,052,260",LGF,"$11,107,431","2,297","$5,130,963","2,297",9/28,11/8
126,127,Welcome to Marwen,Universal,"December 21, 2018",Drama,1 hrs. 56 min.,PG-13,$39 million,"$2,145,345",Uni.,"$10,763,520","1,911","$2,354,205","1,911",12/21,1/17
127,128,The Miracle Season,Mirror/LD,"April 6, 2018",Drama,1 hrs. 39 min.,PG,N/A,no dist,Mirr/LD,"$10,230,620","1,707","$3,950,652","1,707",4/6,7/5
128,129,The Wife,Sony Classics,"August 17, 2018",Drama,1 hrs. 40 min.,R,N/A,"$8,604,220",SPC,"$9,601,092",541,"$108,284",4,8/17,4/18
129,130,Midnight Sun,Global Road,"March 23, 2018",Romance,1 hrs. 31 min.,PG-13,N/A,"$17,804,403",Global Road,"$9,561,064","2,173","$4,003,993","2,173",3/23,5/10
130,131,Tully (2018),Focus Features,"May 4, 2018",Comedy,1 hrs. 36 min.,R,N/A,"$6,266,707",Focus,"$9,369,755","1,356","$3,282,610","1,353",5/4,7/5
131,132,Traffik,Lionsgate,"April 20, 2018",Thriller,1 hrs. 36 min.,R,N/A,"$336,279",LGF,"$9,186,156","1,046","$3,941,338","1,046",4/20,5/31
132,133,Unfriended: Dark Web,BH Tilt,"July 20, 2018",Thriller,1 hrs. 28 min.,R,"$1,000,000","$6,300,000",BH Tilt,"$8,866,745","1,547","$3,653,035","1,546",7/20,8/16
133,134,Can You Ever Forgive Me?,Fox Searchlight,"October 19, 2018",Drama,1 hrs. 47 min.,R,N/A,n/a,FoxS,"$8,803,865",555,"$161,510",5,10/19,-
134,135,Early Man,Lionsgate,"February 16, 2018",Animation,1 hrs. 29 min.,PG,N/A,"$46,355,270",LGF,"$8,267,544","2,494","$3,190,525","2,494",2/16,3/29
135,136,The Death of Stalin,IFC,"March 9, 2018",Comedy / Drama,1 hrs. 46 min.,R,N/A,"$16,598,199",IFC,"$8,047,856",548,"$184,805",4,3/9,7/26
136,137,Sanju,FIP,"June 29, 2018",Drama,2 hrs. 35 min.,Unrated,N/A,"$63,625,813",FIP,"$7,909,317",359,"$2,723,349",356,6/29,8/16
137,138,Unsane,Bleecker Street,"March 23, 2018",Thriller,1 hrs. 38 min.,R,N/A,"$6,560,702",BST,"$7,732,899","2,023","$3,762,145","2,023",3/23,4/12
138,139,Beautiful Boy (2018),Amazon Studios,"October 12, 2018",Drama,1 hrs. 52 min.,R,N/A,"$8,671,105",Amazon,"$7,649,973",776,"$218,888",4,10/12,2/7
139,140,Mid90s,A24,"October 19, 2018",Comedy / Drama,1 hrs. 24 min.,R,N/A,no dist,A24,"$7,362,439","1,206","$258,157",4,10/19,12/23
140,141,Dog Days (2018),LD Entertainment,"August 8, 2018",Comedy,1 hrs. 52 min.,PG,N/A,no dist,LD,"$6,809,080","2,442","$2,554,766","2,442",8/8,9/27
141,142,Boy Erased,Focus Features,"November 2, 2018",Drama,1 hrs. 54 min.,R,N/A,"$4,969,159",Focus,"$6,788,692",672,"$207,057",5,11/2,1/3
