name,distributor_full_name,release_date,genre,runtime,rating,budget,rest_world,studio,total_gross,theaters_total,opening,theaters_opening,open_date,close_date,days_in_theaters,imdb_rating,directors,cinemascore_name,cinemascore_rating,RT_name,RT_rating,is_Action,is_Animation,is_Drama,is_Horror,is_Comedy,is_Adventure,is_Music,is_Sci-Fi,is_Thriller,is_Documentary,is_Romance,is_Fantasy,studio_uni,studio_WB,studio_Fox,studio_Sony,studio_STX,studio_LGF,studio_BV,studio_Focus,studio_Fathom,studio_Magn,studio_IFC,studio_WGUSA,studio_KL,rating_G,rating_Not Yet Rated,rating_PG,rating_PG-13,rating_R,rating_Unknown,rating_Unrated,CS_rating_A,CS_rating_A+,CS_rating_A-,CS_rating_B,CS_rating_B+,CS_rating_B-,CS_rating_C,CS_rating_C+,CS_rating_C-,CS_rating_D+,CS_rating_D-
The Equalizer 2,Sony / Columbia,"July 20, 2018",Thriller,121.0,R,62.0,88315795,Sony,102084362.0,3388,36011640,3388,7/20,9/20,62.0,6.7,Antoine Fuqua,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rampage (2018),Warner Bros. (New Line),"April 13, 2018",Action / Adventure,107.0,PG-13,120.0,327000000,WB (NL),101028233.0,4115,35753093,4115,4/13,7/26,104.0,6.1,Brad Peyton,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Wrinkle in Time,Buena Vista,"March 9, 2018",Fantasy,115.0,PG,,32197256,BV,100478608.0,3980,33123609,3980,3/9,7/5,118.0,4.2,Ava DuVernay,,,A Wrinkle in Time,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fifty Shades Freed,Universal,"February 9, 2018",Romance,105.0,R,55.0,271501689,Uni.,100407760.0,3768,38560195,3768,2/9,4/5,55.0,4.5,James Foley,FIFTY SHADES FREED (2018),B+,Fifty Shades Freed,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Disney's Christopher Robin,Buena Vista,"August 3, 2018",Fantasy,104.0,PG,75.0,98529335,BV,99215042.0,3602,24585139,3602,8/3,11/29,118.0,7.3,Marc Forster,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Book,Universal,"November 16, 2018",Comedy / Drama,130.0,PG-13,23.0,234657190,Uni.,85080171.0,2648,320429,2648,11/16,5/2,167.0,8.3,Peter Farrelly,,,Green Book,78.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Can Only Imagine,Roadside Attractions,"March 16, 2018",Family,110.0,PG,7.0,,RAtt.,83482352.0,2894,17108914,2894,3/16,7/12,118.0,7.4,Andrew Erwin & Jon Erwin,I CAN ONLY IMAGINE (2018),A+,I Can Only Imagine,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Smallfoot,Warner Bros.,"September 28, 2018",Animation,87.0,PG,,130900000,WB,83240103.0,4131,23045635,4131,9/28,1/17,111.0,6.7,Karey Kirkpatrick & Jason Reisig,SMALLFOOT (2018),A-,Smallfoot,76.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Night School (2018),Universal,"September 28, 2018",Comedy,111.0,PG-13,29.0,25765819,Uni.,77339130.0,3019,27257615,3019,9/28,1/3,97.0,5.6,Malcolm D. Lee,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The First Purge,Universal,"July 4, 2018",Thriller,97.0,R,13.0,67497457,Uni.,69488745.0,3038,17374280,3038,7/4,9/6,64.0,5.1,Gerard McMurray,,,The First Purge,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
